M,X,class,const_cls,med_w,scl,scl_pool,logprior,thr,n
Ru,O,Double,,1.8991,0.1070,0.1459,-3.7869,,17
Ru,O,Single,,0.5084,0.1494,0.1459,-0.0229,,733
Ru,O,thr,,,,0.1459,,1.23626|inf,750
Ru,P,const,0,,,,,,990
Ru,S,const,0,,,,,,653
Ru,Se,const,0,,,,,,53
Ru,Si,const,0,,,,,,58
Ru,Te,const,0,,,,,,30
Sc,C,const,0,,,,,,61
Sc,Cl,const,0,,,,,,79
Sc,H,const,0,,,,,,16
Sc,I,const,0,,,,,,15
Sc,N,const,0,,,,,,138
Sc,O,const,0,,,,,,141
Sc,S,const,0,,,,,,6
Sn,As,const,0,,,,,,14
Sn,Br,const,0,,,,,,66
Sn,C,Double,,0.4071,0.1570,0.0979,-5.5199,,5
Sn,C,Single,,0.6397,0.0979,0.0979,-0.0040,,1243
Sn,C,thr,,,,0.0979,,inf|inf,1248
Sn,Cl,const,0,,,,,,346
Sn,F,const,0,,,,,,21
Sn,H,const,0,,,,,,5
Sn,I,const,0,,,,,,29
Sn,N,const,0,,,,,,437
Sn,O,const,0,,,,,,922
Sn,P,const,0,,,,,,45
Sn,S,const,0,,,,,,298
Sn,Se,const,0,,,,,,170
Sn,Si,const,0,,,,,,35
Sn,Te,const,0,,,,,,21
Ta,Br,const,0,,,,,,43
Ta,C,Double,,1.5385,0.2733,0.0804,-2.5965,,12
Ta,C,Single,,0.8332,0.0722,0.0804,-0.0775,,149
Ta,C,thr,,,,0.0804,,1.304|inf,161
Ta,Cl,const,0,,,,,,478
Ta,F,const,0,,,,,,152
Ta,H,const,0,,,,,,21
Ta,N,Double,,1.8914,0.2970,0.2203,-2.0680,,33
Ta,N,Single,,0.5281,0.2108,0.2203,-0.1573,,223
Ta,N,Triple,,2.1004,0.0657,0.2203,-3.9551,,5
Ta,N,thr,,,,0.2203,,1.22139|inf,261
Ta,O,const,0,,,,,,149
Ta,P,const,0,,,,,,133
Ta,S,Double,,2.1633,0.0191,0.1652,-2.5759,,7
Ta,S,Single,,0.5153,0.1821,0.1652,-0.0791,,85
Ta,S,thr,,,,0.1652,,1.31706|inf,92
Ti,As,const,0,,,,,,8
Ti,Br,const,0,,,,,,67
Ti,C,Double,,0.8184,0.1401,0.1131,-3.8359,,6
Ti,C,Single,,0.8478,0.1131,0.1131,-0.0218,,272
Ti,C,thr,,,,0.1131,,inf|inf,278
Ti,Cl,const,0,,,,,,1426
Ti,F,const,0,,,,,,297
Ti,H,const,0,,,,,,58
Ti,I,const,0,,,,,,25
Ti,N,Double,,1.5553,0.5819,0.1912,-3.6431,,19
Ti,N,Single,,0.5152,0.1855,0.1912,-0.0308,,704
Ti,N,thr,,,,0.1912,,1.48833|inf,726
Ti,O,const,0,,,,,,1096
Ti,P,const,0,,,,,,110
Ti,S,const,0,,,,,,225
Ti,Se,const,0,,,,,,35
V,Br,const,0,,,,,,25
V,C,const,0,,,,,,137
V,Cl,const,0,,,,,,344
V,F,const,0,,,,,,24
V,H,const,0,,,,,,71
V,I,const,0,,,,,,20
V,N,Double,,2.0204,0.1840,0.1781,-3.2313,,16
V,N,Single,,0.4854,0.1761,0.1781,-0.0532,,384
V,N,Triple,,2.3367,0.6563,0.1781,-4.3944,,5
V,N,thr,,,,0.1781,,1.9858|2.45812,405
V,O,Double,,2.1911,0.0983,0.1873,-1.4858,,239
V,O,Single,,0.6769,0.2947,0.1873,-0.2578,,816
V,O,thr,,,,0.1873,,1.7878|inf,1056
V,P,const,0,,,,,,160
V,S,Double,,1.6316,0.0050,0.2402,-3.8395,,6
V,S,Single,,0.8442,0.2409,0.2402,-0.0217,,273
V,S,thr,,,,0.2402,,1.50073|inf,279
V,Se,const,0,,,,,,24
V,Te,const,0,,,,,,8
W,As,const,0,,,,,,37
W,Br,const,0,,,,,,105
W,C,Double,,0.7918,0.0744,0.0632,-3.1648,,183
W,C,Single,,1.0097,0.0612,0.0632,-0.0656,,4059
W,C,Triple,,1.8864,0.1234,0.0632,-3.8525,,92
W,C,thr,,,,0.0632,,1.48637|1.70689,4334
W,Cl,const,0,,,,,,930
W,F,const,0,,,,,,75
W,H,const,0,,,,,,118
W,I,const,0,,,,,,28
W,N,Double,,1.8982,0.2331,0.1295,-1.9716,,110
W,N,Single,,0.5252,0.1062,0.1295,-0.2263,,630
W,N,Triple,,1.8876,0.3042,0.1295,-2.7600,,50
W,N,thr,,,,0.1295,,1.02542|2.15799,790
