M,X,d_bond,w_veto,f1,n,n_pos
Mg,Cl,2.4120,0.000,1.0000,51,50
B,I,2.7960,0.000,1.0000,80,48
Ru,As,3.2790,0.000,0.9895,50,48
Ni,B,2.4990,0.000,0.9412,120,48
Hf,P,2.9440,0.250,0.9783,80,47
Sn,P,3.0450,0.000,1.0000,113,47
Ga,Ga,2.7360,0.000,0.9545,304,46
V,B,2.4680,0.000,0.8317,127,46
Ni,Se,2.7950,0.000,0.9890,58,46
Pt,Se,2.8130,0.000,0.9885,52,44
Mo,Te,2.9040,0.000,1.0000,46,44
Ga,H,2.2450,0.000,0.9882,2641,43
Mn,As,2.5120,0.000,1.0000,58,43
Ga,Br,2.3800,0.000,1.0000,55,43
Ta,Br,2.6960,0.000,0.9882,51,43
Ta,Ta,3.0310,0.150,1.0000,66,42
Cr,Se,2.6610,0.000,0.9500,59,42
Fe,F,1.9410,0.000,0.9756,79,42
Fe,Te,2.5250,0.000,1.0000,49,41
W,As,2.8270,0.000,0.9870,44,39
Al,As,2.6550,0.000,0.9870,40,39
In,F,2.1800,0.000,1.0000,192,38
Zr,B,2.8140,0.000,0.7551,147,38
V,V,3.1870,0.200,0.7755,140,38
Ce,Br,2.9340,0.000,1.0000,41,37
Pt,Si,2.4740,0.000,0.9863,128,37
Y,H,2.6880,0.000,0.8378,831,36
Cr,Br,2.5920,0.000,1.0000,45,36
La,S,3.0460,0.200,1.0000,54,36
Os,Si,2.6220,0.000,0.9855,52,35
Sn,Si,2.8450,0.000,0.9855,243,35
Ti,Se,2.7640,0.000,0.9706,44,35
Ce,S,3.0360,0.000,1.0000,36,34
Ga,As,3.0400,0.000,1.0000,35,33
Zr,Br,2.8090,0.000,1.0000,39,33
Re,As,2.6100,0.000,0.9841,36,32
Y,I,3.0500,0.000,0.9677,32,32
W,Si,2.7100,0.000,1.0000,202,32
Ir,Se,2.6110,0.000,0.9841,41,32
Zn,Se,2.8320,0.000,0.9836,36,31
Rh,Si,2.3800,0.000,1.0000,90,30
Al,Si,2.5800,0.000,1.0000,490,30
Ru,Te,2.7470,0.000,1.0000,33,30
*,*,1.3002,0.000,,,
