M,X,class,const_cls,med_w,scl,logprior,n
Pb,Cl,const,0,,,,118
Pb,H,const,0,,,,5
Pb,I,const,0,,,,116
Pb,N,const,0,,,,668
Pb,O,const,0,,,,591
Pb,P,const,0,,,,6
Pb,S,const,0,,,,212
Pb,Se,const,0,,,,21
Pd,As,const,0,,,,9
Pd,Br,const,0,,,,143
Pd,C,Double,,0.7881,0.0945,-2.0117,42
Pd,C,Single,,0.8444,0.1208,-0.1436,272
Pd,Cl,const,0,,,,1078
Pd,I,const,0,,,,223
Pd,N,const,0,,,,342
Pd,O,const,0,,,,130
Pd,P,const,0,,,,525
Pd,S,const,0,,,,285
Pd,Si,const,0,,,,17
Pd,Te,const,0,,,,5
Pt,As,const,0,,,,11
Pt,Br,const,0,,,,171
Pt,C,Double,,0.9388,0.1291,-2.8459,37
Pt,C,Single,,0.9495,0.0679,-0.0598,600
Pt,Cl,const,0,,,,578
Pt,F,const,0,,,,10
Pt,H,const,0,,,,28
Pt,I,const,0,,,,232
Pt,N,const,0,,,,505
Pt,O,const,0,,,,147
Pt,P,Single,,0.8817,0.0780,-0.0048,622
Pt,S,const,0,,,,350
Pt,Se,const,0,,,,44
Pt,Si,const,0,,,,37
Pt,Te,const,0,,,,22
Re,As,const,0,,,,32
Re,Br,const,0,,,,239
Re,C,Double,,0.8435,0.1279,-4.4519,43
Re,C,Single,,1.3316,0.1342,-0.0197,3617
Re,C,Triple,,2.5163,0.1349,-4.8458,29
Re,Cl,const,0,,,,1173
Re,H,const,0,,,,163
Re,I,const,0,,,,72
Re,N,Double,,2.0183,0.1918,-3.3636,56
Re,N,Single,,0.5674,0.1210,-0.1555,1385
Re,N,Triple,,3.0298,0.2443,-2.2128,177
Re,O,Double,,2.0671,0.0568,-0.7886,749
Re,O,Single,,0.5726,0.2523,-0.6621,850
Re,O,Triple,,2.2132,0.0713,-3.5155,49
Re,P,Single,,0.7898,0.0929,-0.0012,852
Re,S,Double,,2.2245,0.1113,-4.6835,7
