M,X,class,const_cls,med_d,scl,scl_pool,logprior,thr,n
Mg,Cl,const,0,,,,,,50
Mg,H,const,0,,,,,,24
Mg,I,const,0,,,,,,13
Mg,N,const,0,,,,,,251
Mg,O,const,0,,,,,,309
Mg,P,const,0,,,,,,6
Mg,S,const,0,,,,,,14
Mg,Se,const,0,,,,,,8
Mn,As,const,0,,,,,,37
Mn,Br,const,0,,,,,,187
Mn,C,Double,,1.9046,0.0487,0.0139,-3.6434,,81
Mn,C,Single,,1.7879,0.0134,0.0139,-0.0272,,3013
Mn,C,thr,,,,0.0139,,-inf|-inf,3096
Mn,Cl,const,0,,,,,,256
Mn,F,const,0,,,,,,20
Mn,H,const,0,,,,,,50
Mn,I,const,0,,,,,,27
Mn,N,Double,,1.5981,0.0071,0.1137,-3.7842,,20
Mn,N,Single,,2.0020,0.1172,0.1137,-0.0406,,845
Mn,N,Triple,,1.5353,0.0050,0.1137,-4.0719,,15
Mn,N,thr,,,,0.1137,,1.63713|1.55862,880
Mn,O,Double,,1.4780,0.0050,0.2178,-5.2893,,5
Mn,O,Single,,2.0429,0.2192,0.2178,-0.0061,,985
Mn,O,thr,,,,0.2178,,1.49223|1.46973,991
Mn,P,const,0,,,,,,354
Mn,S,Double,,2.1642,0.0050,0.1499,-4.1325,,6
Mn,S,Single,,2.4609,0.1512,0.1499,-0.0162,,368
Mn,S,thr,,,,0.1499,,-inf|-inf,374
Mn,Se,const,0,,,,,,60
Mn,Si,const,0,,,,,,7
Mn,Te,const,0,,,,,,22
Mo,As,const,0,,,,,,65
Mo,Br,const,0,,,,,,185
Mo,C,Double,,2.0278,0.0950,0.0253,-4.7536,,25
Mo,C,Single,,1.9487,0.0251,0.0253,-0.0199,,2843
Mo,C,Triple,,1.8519,0.0296,0.0253,-4.5067,,32
Mo,C,thr,,,,0.0253,,1.88076|1.88076,2900
Mo,Cl,const,0,,,,,,977
Mo,F,const,0,,,,,,23
Mo,H,const,0,,,,,,190
Mo,I,const,0,,,,,,116
Mo,N,Double,,1.7455,0.0140,0.1397,-2.7521,,77
Mo,N,Single,,2.1282,0.1777,0.1397,-0.1318,,1058
Mo,N,Triple,,1.7295,0.0159,0.1397,-2.8192,,72
Mo,N,thr,,,,0.1397,,1.73179|1.73179,1207
Mo,O,Double,,1.6421,0.0102,0.0706,-1.2133,,532
Mo,O,Single,,1.9564,0.1720,0.0706,-0.3551,,1255
Mo,O,thr,,,,0.0706,,1.6693|-inf,1790
Mo,P,const,0,,,,,,1043
Mo,S,Double,,2.1817,0.0231,0.1056,-3.2452,,51
Mo,S,Single,,2.4970,0.1094,0.1056,-0.0405,,1257
Mo,S,thr,,,,0.1056,,2.19527|2.14499,1309
Mo,Se,const,0,,,,,,101
Mo,Si,const,0,,,,,,20
Mo,Te,const,0,,,,,,44
Nb,As,const,0,,,,,,12
Nb,Br,const,0,,,,,,51
Nb,C,Double,,2.0563,0.0128,0.1680,-3.2426,,5
Nb,C,Single,,2.1833,0.1703,0.1680,-0.0480,,122
Nb,C,thr,,,,0.1680,,1.96335|1.96335,128
Nb,Cl,const,0,,,,,,717
Nb,F,const,0,,,,,,129
Nb,H,const,0,,,,,,54
Nb,I,const,0,,,,,,22
Nb,N,Double,,1.7882,0.0252,0.1696,-1.8206,,57
Nb,N,Single,,2.2304,0.2326,0.1696,-0.1972,,289
Nb,N,Triple,,1.7668,0.0050,0.1696,-4.0719,,6
Nb,N,thr,,,,0.1696,,1.82757|-inf,352
Nb,O,Double,,1.6882,0.0132,0.2520,-2.2246,,24
Nb,O,Single,,2.0518,0.2704,0.2520,-0.1144,,198
Nb,O,thr,,,,0.2520,,1.75711|-inf,222
Nb,P,const,0,,,,,,107
Nb,S,Double,,2.2879,0.0076,0.1066,-2.7150,,19
Nb,S,Single,,2.5411,0.1101,0.1066,-0.0685,,268
Nb,S,thr,,,,0.1066,,2.34842|-inf,287
Nb,Se,const,0,,,,,,21
Nb,Si,const,0,,,,,,13
Nb,Te,const,0,,,,,,5
Ni,As,const,0,,,,,,9
Ni,Br,const,0,,,,,,346
Ni,C,Double,,1.9149,0.0703,0.1095,-2.4108,,42
Ni,C,Single,,1.9106,0.1149,0.1095,-0.0940,,426
Ni,C,thr,,,,0.1095,,-inf|-inf,468
Ni,Cl,const,0,,,,,,531
Ni,F,const,0,,,,,,6
Ni,H,const,0,,,,,,29
Ni,I,const,0,,,,,,63
Ni,N,const,0,,,,,,2469
Ni,O,const,0,,,,,,1712
Ni,P,const,0,,,,,,537
Ni,S,const,0,,,,,,628
Ni,Se,const,0,,,,,,44
Ni,Si,const,0,,,,,,22
Os,As,const,0,,,,,,10
Os,Br,const,0,,,,,,129
Os,C,Double,,1.9525,0.0640,0.0747,-2.5917,,68
Os,C,Single,,1.9229,0.0761,0.0747,-0.0983,,823
Os,C,Triple,,1.8197,0.0212,0.0747,-3.9780,,17
Os,C,thr,,,,0.0747,,1.83994|1.83994,908
Os,Cl,const,0,,,,,,644
Os,F,const,0,,,,,,75
Os,H,const,0,,,,,,269
Os,I,const,0,,,,,,67
Os,N,Double,,1.7862,0.0623,0.0953,-3.1169,,33
Os,N,Single,,2.0642,0.1102,0.0953,-0.1076,,669
Os,N,Triple,,1.6685,0.0096,0.0953,-2.8522,,43
Os,N,thr,,,,0.0953,,1.83553|1.72948,745
Os,O,Double,,1.6240,0.0121,0.0445,-0.8670,,187
Os,O,Single,,2.1274,0.1333,0.0445,-0.5451,,258
Os,O,thr,,,,0.0445,,1.67862|-inf,445
Os,P,const,0,,,,,,697
Os,S,const,0,,,,,,214
Os,Se,const,0,,,,,,16
Os,Si,const,0,,,,,,31
Pb,Br,const,0,,,,,,136
Pb,C,const,0,,,,,,247
Pb,Cl,const,0,,,,,,118
Pb,H,const,0,,,,,,5
Pb,I,const,0,,,,,,116
Pb,N,const,0,,,,,,668
Pb,O,const,0,,,,,,591
Pb,P,const,0,,,,,,6
Pb,S,const,0,,,,,,212
Pb,Se,const,0,,,,,,21
Pd,As,const,0,,,,,,9
Pd,Br,const,0,,,,,,143
Pd,C,Double,,1.9929,0.0411,0.0598,-2.0117,,42
Pd,C,Single,,2.0368,0.0624,0.0598,-0.1436,,272
Pd,C,thr,,,,0.0598,,-inf|-inf,314
Pd,Cl,const,0,,,,,,1078
Pd,I,const,0,,,,,,223
Pd,N,const,0,,,,,,342
Pd,O,const,0,,,,,,130
Pd,P,const,0,,,,,,525
Pd,S,const,0,,,,,,285
Pd,Si,const,0,,,,,,17
Pd,Te,const,0,,,,,,5
Pt,As,const,0,,,,,,11
Pt,Br,const,0,,,,,,171
Pt,C,Double,,1.9930,0.0415,0.0307,-2.8459,,37
Pt,C,Single,,2.0538,0.0300,0.0307,-0.0598,,600
Pt,C,thr,,,,0.0307,,-inf|-inf,637
Pt,Cl,const,0,,,,,,578
Pt,F,const,0,,,,,,10
Pt,H,const,0,,,,,,28
Pt,I,const,0,,,,,,232
Pt,N,const,0,,,,,,505
Pt,O,const,0,,,,,,147
Pt,P,const,0,,,,,,625
Pt,S,const,0,,,,,,350
Pt,Se,const,0,,,,,,44
Pt,Si,const,0,,,,,,37
Pt,Te,const,0,,,,,,22
Re,As,const,0,,,,,,32
Re,Br,const,0,,,,,,239
Re,C,Double,,2.1933,0.0648,0.0208,-4.4519,,43
Re,C,Single,,1.9579,0.0209,0.0208,-0.0197,,3617
Re,C,Triple,,1.8630,0.0095,0.0208,-4.8458,,29
Re,C,thr,,,,0.0208,,1.89911|1.89911,3689
Re,Cl,const,0,,,,,,1173
Re,H,const,0,,,,,,163
Re,I,const,0,,,,,,72
Re,N,Double,,1.7648,0.0180,0.0722,-3.3636,,56
Re,N,Single,,2.1727,0.0884,0.0722,-0.1555,,1385
Re,N,Triple,,1.7310,0.0050,0.0722,-2.2128,,177
Re,N,thr,,,,0.0722,,1.80773|1.7638,1618
Re,O,Double,,1.6672,0.0064,0.0371,-0.7886,,749
Re,O,Single,,2.0995,0.2829,0.0371,-0.6621,,850
Re,O,Triple,,1.6585,0.0050,0.0371,-3.5155,,49
Re,O,thr,,,,0.0371,,1.73759|-inf,1648
Re,P,const,0,,,,,,853
Re,S,Double,,2.1467,0.0050,0.1789,-4.6835,,7
Re,S,Single,,2.5183,0.1795,0.1789,-0.0106,,749
Re,S,thr,,,,0.1789,,2.15202|-inf,757
Re,Se,const,0,,,,,,62
Re,Si,const,0,,,,,,5
Re,Te,const,0,,,,,,7
Rh,As,const,0,,,,,,12
Rh,Br,const,0,,,,,,107
Rh,C,Double,,1.9724,0.0681,0.1905,-3.0053,,52
Rh,C,Single,,1.9958,0.1987,0.1905,-0.0518,,997
Rh,C,thr,,,,0.1905,,1.80634|-inf,1050
Rh,Cl,const,0,,,,,,1211
Rh,H,const,0,,,,,,174
Rh,I,const,0,,,,,,148
Rh,N,const,0,,,,,,782
Rh,O,const,0,,,,,,1471
Rh,P,const,0,,,,,,955
Rh,S,const,0,,,,,,416
Rh,Se,const,0,,,,,,27
Rh,Si,const,0,,,,,,30
Rh,Te,const,0,,,,,,5
Ru,As,const,0,,,,,,35
Ru,Br,const,0,,,,,,120
Ru,C,Double,,1.9104,0.0258,0.0665,-2.0042,,326
Ru,C,Single,,1.8876,0.0692,0.0665,-0.1495,,2083
Ru,C,Triple,,1.7788,0.0089,0.0665,-5.4885,,10
Ru,C,thr,,,,0.0665,,1.80073|1.80073,2419
Ru,Cl,const,0,,,,,,1671
Ru,H,const,0,,,,,,447
Ru,I,const,0,,,,,,99
